chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=0	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=1	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=2	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=3	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=4	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=5	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=6	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=3,b=7	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=0	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=1	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=2	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=3	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=4	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=5	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=6	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=4,b=7	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=0	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=1	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=2	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=3	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=4	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=5	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=6	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=5,b=7	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=0	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=1	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=2	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=3	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=4	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=5	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=6	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=6,b=7	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=0	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=1	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=2	false
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=3	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=4	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=5	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=6	true
chat_allowed	tut=MidSolo;chat=47:PlayCall;a=7,b=7	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=1	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=3	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=4	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=5	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=6	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=0,b=7	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=1	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=3	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=4	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=5	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=6	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=1,b=7	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=1	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=3	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=4	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=5	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=6	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=2,b=7	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=1	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=3	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=4	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=5	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=6	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=3,b=7	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=1	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=3	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=4	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=5	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=6	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=4,b=7	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=1	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=3	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=4	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=5	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=6	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=5,b=7	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=1	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=3	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=4	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=5	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=6	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=6,b=7	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=0	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=1	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=2	false
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=3	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=4	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=5	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=6	true
chat_allowed	tut=MidSolo;chat=48:PlayPhaseChange;a=7,b=7	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=1,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=1,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=1,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=1,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=3,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=3,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=3,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=3,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=4,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=4,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=4,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=4,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=5,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=5,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=5,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=5,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=6,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=6,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=6,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=6,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=7,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=7,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=7,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=0,b=7,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=1,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=1,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=1,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=1,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=3,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=3,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=3,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=3,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=4,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=4,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=4,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=4,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=5,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=5,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=5,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=5,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=6,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=6,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=6,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=6,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=7,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=7,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=7,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=1,b=7,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=1,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=1,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=1,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=1,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=3,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=3,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=3,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=3,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=4,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=4,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=4,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=4,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=5,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=5,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=5,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=5,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=6,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=6,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=6,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=6,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=7,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=7,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=7,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=2,b=7,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=1,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=1,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=1,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=1,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=3,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=3,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=3,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=3,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=4,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=4,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=4,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=4,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=5,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=5,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=5,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=5,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=6,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=6,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=6,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=6,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=7,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=7,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=7,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=3,b=7,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=1,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=1,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=1,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=1,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=3,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=3,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=3,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=3,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=4,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=4,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=4,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=4,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=5,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=5,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=5,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=5,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=6,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=6,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=6,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=6,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=7,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=7,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=7,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=4,b=7,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=1,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=1,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=1,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=1,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=3,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=3,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=3,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=3,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=4,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=4,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=4,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=4,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=5,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=5,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=5,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=5,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=6,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=6,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=6,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=6,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=7,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=7,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=7,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=5,b=7,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=1,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=1,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=1,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=1,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=2,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=2,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=3,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=3,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=3,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=3,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=4,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=4,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=4,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=4,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=5,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=5,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=5,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=5,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=6,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=6,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=6,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=6,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=7,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=7,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=7,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=6,b=7,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=0,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=0,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=0,c=2	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=0,c=3	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=1,c=0	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=1,c=1	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=1,c=2	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=1,c=3	true
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=2,c=0	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=2,c=1	false
chat_allowed	tut=MidSolo;chat=49:PlayPropose;a=7,b=2,c=2	false
